open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1678924800000,0.00022700,0.00025268,0.00007158,0.00007158,0,1678924859999,0,12,0,0,0
1678924860000,0.00020103,0.00059931,0.00017997,0.00045857,0,1678924919999,0,12,0,0,0
1678924920000,0.00035991,0.00039469,0,0.00039469,0,1678924979999,0,12,0,0,0
1678924980000,0.00030551,0.00041897,0.00025080,0.00041872,0,1678925039999,0,12,0,0,0
1678925040000,0.00030706,0.00037997,0.00005274,0.00005274,0,1678925099999,0,12,0,0,0
1678925100000,0.00017994,0.00039054,-0.00001442,0.00039054,0,1678925159999,0,12,0,0,0
1678925160000,0.00037675,0.00037675,-0.00013578,-0.00013578,0,1678925219999,0,12,0,0,0
1678925220000,-0.00006395,0.00028899,-0.00008010,0.00019129,0,1678925279999,0,12,0,0,0
1678925280000,-0.00011639,0.00030207,-0.00011639,0.00030207,0,1678925339999,0,12,0,0,0
1678925340000,0.00011962,0.00012816,-0.00001495,0.00011156,0,1678925399999,0,12,0,0,0
1678925400000,0.00008945,0.00020580,-0.00037079,-0.00008185,0,1678925459999,0,12,0,0,0
1678925460000,-0.00006001,0.00039018,-0.00029521,0.00025209,0,1678925519999,0,12,0,0,0
1678925520000,-0.00004438,0.00033820,-0.00027788,0,0,1678925579999,0,12,0,0,0
1678925580000,-0.00012747,0.00035788,-0.00012747,0.00030922,0,1678925639999,0,12,0,0,0
1678925640000,0.00011653,0.00047195,0.00010612,0.00024509,0,1678925699999,0,12,0,0,0
1678925700000,0.00042008,0.00042008,0.00014504,0.00014504,0,1678925759999,0,12,0,0,0
1678925760000,0.00036835,0.00043149,-0.00002981,0.00023954,0,1678925819999,0,12,0,0,0
1678925820000,0.00005806,0.00039558,0.00005806,0.00039558,0,1678925879999,0,12,0,0,0
1678925880000,0.00041386,0.00052971,0.00000813,0.00003721,0,1678925939999,0,12,0,0,0
1678925940000,-0.00003159,0.00020121,-0.00007929,0.00015130,0,1678925999999,0,12,0,0,0
1678926000000,0.00016813,0.00034082,0.00010365,0.00028969,0,1678926059999,0,12,0,0,0
1678926060000,0.00040612,0.00055484,0.00002371,0.00023751,0,1678926119999,0,12,0,0,0
1678926120000,0.00018552,0.00018871,-0.00006560,0.00009953,0,1678926179999,0,12,0,0,0
1678926180000,0.00008220,0.00023481,-0.00006164,0.00007215,0,1678926239999,0,12,0,0,0
1678926240000,0.00020952,0.00024124,-0.00005107,0.00013879,0,1678926299999,0,12,0,0,0
1678926300000,0.00004292,0.00019765,-0.00004927,0,0,1678926359999,0,12,0,0,0
1678926360000,0.00007362,0.00011081,-0.00009200,0.00011081,0,1678926419999,0,12,0,0,0
1678926420000,0.00004450,0.00023114,-0.00011918,-0.00000361,0,1678926479999,0,12,0,0,0
1678926480000,0.00011473,0.00016097,-0.00001460,0.00007132,0,1678926539999,0,12,0,0,0
1678926540000,0.00006016,0.00026084,0.00001594,0.00004274,0,1678926599999,0,12,0,0,0
1678926600000,0.00013502,0.00046460,-0.00002389,-0.00002389,0,1678926659999,0,12,0,0,0
1678926660000,0.00003755,0.00004752,-0.00005307,-0.00001611,0,1678926719999,0,12,0,0,0
1678926720000,-0.00015375,0.00006153,-0.00015375,-0.00006804,0,1678926779999,0,12,0,0,0
1678926780000,-0.00007366,0.00008727,-0.00016348,0,0,1678926839999,0,12,0,0,0
1678926840000,0.00004350,0.00014032,-0.00046922,-0.00011888,0,1678926899999,0,12,0,0,0
