open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1678927260000,24254.50423937,24261.54066805,24220.45228231,24220.45228231,0,1678927319999,0,60,0,0,0
1678927320000,24220.45219822,24225.69143307,24210.41598749,24225.08270377,0,1678927379999,0,60,0,0,0
1678927380000,24225.13833681,24232.28449462,24205.81942741,24206.15735925,0,1678927439999,0,60,0,0,0
1678927440000,24206.15735925,24213.32003308,24166.85474603,24192.75316028,0,1678927499999,0,60,0,0,0
1678927500000,24188.50000000,24193.79013659,24150.95903235,24193.00268311,0,1678927559999,0,60,0,0,0
1678927560000,24195.80271838,24222.39771901,24193,24221.44200633,0,1678927619999,0,60,0,0,0
1678927620000,24221.44192223,24229.84217731,24220.66274096,24229.20304932,0,1678927679999,0,60,0,0,0
1678927680000,24229.60181223,24264.45158536,24229.60181223,24253.60000000,0,1678927739999,0,60,0,0,0
1678927740000,24253.70000000,24259.50000000,24238.96279514,24243.23168796,0,1678927799999,0,60,0,0,0
1678927800000,24242.53696019,24280.83633233,24239.77425988,24257.47620833,0,1678927859999,0,60,0,0,0
1678927860000,24258.12557759,24262.17639120,24238.16497172,24254.38265970,0,1678927919999,0,60,0,0,0
1678927920000,24255.12107720,24255.52551555,24244.87638394,24247,0,1678927979999,0,60,0,0,0
1678927980000,24246.16601200,24271.85927078,24235.17340076,24263.70000000,0,1678928039999,0,60,0,0,0
1678928040000,24264.59833181,24271.74086880,24247.15139944,24250.42896331,0,1678928099999,0,60,0,0,0
1678928100000,24250.91431469,24256.42938914,24240.73158619,24244.21513092,0,1678928159999,0,60,0,0,0
1678928160000,24243.32118973,24251.67172830,24239.29636010,24246.42428596,0,1678928219999,0,60,0,0,0
1678928220000,24246.47241049,24246.47241049,24210.23235426,24212.16141612,0,1678928279999,0,60,0,0,0
1678928280000,24214.46630792,24216.06245881,24176.71961769,24184.91400612,0,1678928339999,0,60,0,0,0
1678928340000,24184.80994868,24205.86992853,24184.80994868,24204.94671635,0,1678928399999,0,60,0,0,0
1678928400000,24204.90718316,24241.10168846,24202.40655559,24241.10168846,0,1678928459999,0,60,0,0,0
1678928460000,24242.93481907,24270.03402615,24240.95131539,24268.32120482,0,1678928519999,0,60,0,0,0
